,id,name,timezone,label,lat,lon,insee,region,label_region,id_region,zip_code
15,stop_area:SNCF:87666115,Souilly,Europe/Paris,Souilly (Souilly),49.027971,5.285856,55498,Souilly,Souilly (55220),admin:fr:55498,55220
16,stop_area:SNCF:87581371,Soulac-sur-Mer,Europe/Paris,Soulac-sur-Mer (Soulac-sur-Mer),45.508234,-1.117698,33514,Soulac-sur-Mer,Soulac-sur-Mer (33780),admin:fr:33514,33780
17,stop_area:SNCF:87141259,Soulosse Route Nationale,Europe/Paris,Soulosse Route Nationale (Soulosse-sous-Saint-Élophe),48.401785,5.731773,88460,Soulosse-sous-Saint-Élophe,Soulosse-sous-Saint-Élophe (88630),admin:fr:88460,88630
18,stop_area:SNCF:87213421,Soultz-sous-Forêts,Europe/Paris,Soultz-sous-Forêts (Soultz-sous-Forêts),48.934775,7.882664,67474,Soultz-sous-Forêts,Soultz-sous-Forêts (67250),admin:fr:67474,67250
19,stop_area:SNCF:87684217,Souppes - Château-Landon,Europe/Paris,Souppes - Château-Landon (Souppes-sur-Loing),48.181962,2.735094,77458,Souppes-sur-Loing,Souppes-sur-Loing (77460),admin:fr:77458,77460
20,stop_area:SNCF:87295543,Sous le Bois,Europe/Paris,Sous le Bois (Maubeuge),50.265748,3.939508,59392,Maubeuge,Maubeuge (59600),admin:fr:59392,59600
21,stop_area:SNCF:87761502,Soyons-Centre,Europe/Paris,Soyons-Centre (Soyons),44.888831,4.851113,07316,Soyons,Soyons (07130),admin:fr:07316,07130
22,stop_area:SNCF:87591834,St Cyr - Noctilien,Europe/Paris,St Cyr - Noctilien (Saint-Cyr-l'École),48.799005,2.072818,78545,Saint-Cyr-l'École,Saint-Cyr-l'École (78210),admin:fr:78545,78210
23,stop_area:SNCF:70154005,St Pancras International,Europe/Paris,St Pancras International (Camden Town),51.5338,-0.12807,,Camden Town,Camden Town,admin:osm:node:399607277,
24,stop_area:SNCF:87420489,St-Étienne-de-B Col d'Auriol,Europe/Paris,St-Étienne-de-B Col d'Auriol (Saint-Étienne-de-Boulogne),44.686173,4.467254,07230,Saint-Étienne-de-Boulogne,Saint-Étienne-de-Boulogne (07200),admin:fr:07230,07200
